n_rows,n_cols,log_n_rows,log_n_cols,rows_cols_ratio,missing_ratio,duplicate_ratio,numeric_ratio,categorical_ratio,temporal_present,skewness_mean,skewness_std,kurtosis_mean,kurtosis_std,outlier_ratio_mean,target_skewness,class_imbalance,n_classes,corr_mean_abs,corr_max_abs,high_corr_pair_count,vif_max,is_stationary,adf_pvalue,trend_strength,seasonality_strength,dt_cv_score,dt_train_time,linear_cv_score,linear_train_time,dt_linear_gap,dt_depth_used,linear_coef_std,lm_1nn,lm_naive_bayes,lm_tiny_dt,lm_linear,lm_baseline,lm_best,lm_nonlinear_advantage,lm_spread,best_algorithm,task_type,openml_did,dataset_name,algo_scores
5326,5,8.580543506917,3.2188758248682006,37.641673723279126,0.14439975445336495,0.046927635450787514,0.30054513608871003,0.39688462371648703,1.0,1.234963019255433,0.6116531604882809,-0.9576021686816956,0.046124850082831514,0.07871619903875837,-0.4005561131389781,0.31858257107591914,3.0,0.023332831606807714,0.9718913080006069,2.0,5.0,1.0,0.38246199126716274,0.8849077972261093,0.0,0.7100433019615909,1.721281409405278,0.7401537692938899,0.45599425944984756,-0.00036790492210997394,3.0,1.8977710745066665,-0.06092608308214022,0.38625281322982374,0.05000338627267927,0.03998996632720116,0.0,0.05000338627267927,-0.00036790492210997394,0.24251920443493832,logistic_regression,classification,-1,synthetic_0,"{""random_forest"": 0.4537, ""xgboost"": 0.7763, ""gradient_boosting"": 0.6421, ""logistic_regression"": 0.4671, ""lasso"": 0.6723, ""knn"": 0.4189, ""decision_tree"": 0.9001, ""svm"": 0.5423}"
3561,12,8.178077463849608,3.6635616461296463,302.9709896174317,0.18437484700462337,0.004424625102595975,0.4371880036934016,0.018090915564215226,1.0,0.6506606615265287,0.388677289689482,0.6280941906433755,1.6574750183038587,0.05351299900403839,-0.876261961250477,0.0,0.0,0.27134804157912423,0.3972377152325862,4.0,5.0,-1.0,0.07455064367977082,0.8881982429404656,0.028181963210002724,0.8475101461834957,0.4054442062530031,0.4027610585618012,0.8173068141702858,0.2300178274831856,2.0,1.4226839054973,0.5422915660730137,0.31607021621248227,0.15741394667941797,0.3369139098379994,0.0,0.5422915660730137,0.2300178274831856,0.1817879924343034,random_forest,regression,-1,synthetic_1,"{""random_forest"": 0.7581, ""xgboost"": 0.9032, ""gradient_boosting"": 0.8675, ""logistic_regression"": 0.6472, ""lasso"": 0.4525, ""knn"": 0.604, ""decision_tree"": 0.7679, ""svm"": 0.7663}"
1670,17,7.421177528595393,3.367295829986474,22.455372104606642,0.02157828539866089,0.0015714592843367127,0.7454872878846462,0.12574239243053068,1.0,1.0171413823294055,0.907566473926093,0.49575337489324967,0.8207658460712595,0.1133326707814573,-1.0848073380335101,0.10381741067223577,2.0,0.038489954914396496,0.4999285025104999,3.0,15.0,-1.0,0.9296976523425731,0.7273083416079753,0.6847065437552077,0.7850316904296906,1.7442065744735582,0.8018360384495573,0.1947043582971755,0.17303823016618175,7.0,1.7665605178377366,0.39575780723848264,0.12973800840210958,0.1829564902836979,0.2245108790277985,0.0,0.39575780723848264,0.17303823016618175,0.036626386410202,xgboost,classification,-1,synthetic_2,"{""random_forest"": 0.8988, ""xgboost"": 0.5497, ""gradient_boosting"": 0.7562, ""logistic_regression"": 0.4003, ""lasso"": 0.5939, ""knn"": 0.5676, ""decision_tree"": 0.4906, ""svm"": 0.6937}"
5453,14,8.604104563405533,1.6094379124341003,359.0125890629766,0.02961738599067998,0.04988702425244709,0.4867467099926995,0.3906459823330612,0.0,0.8220740266364626,0.033050732900548385,1.0704274881600977,1.2687026894027276,0.10210581773321502,0.12373833326854555,0.0,0.0,0.22389158228654582,0.6814962314592162,3.0,50.0,0.0,0.08085332633271525,0.332689010455264,0.2908826388186797,0.6089719722248417,1.6082481151959929,0.6351503172230193,0.9835889094858945,0.08786397708718657,7.0,1.071549368149517,0.37361240857523337,0.03611590802176332,0.24605663561331223,0.20751624869734644,0.0,0.37361240857523337,0.08786397708718657,0.2505907486767714,logistic_regression,regression,-1,synthetic_3,"{""random_forest"": 0.6795, ""xgboost"": 0.7827, ""gradient_boosting"": 0.8721, ""logistic_regression"": 0.5793, ""lasso"": 0.5211, ""knn"": 0.7911, ""decision_tree"": 0.8452, ""svm"": 0.5918}"
2059,32,7.630461261783627,3.6375861597263857,121.98951068067683,0.034990985419187236,0.04910841716647178,0.66164512388971,0.10433166993216361,1.0,1.9925073995158487,0.9654193512887936,2.3497607216425855,1.7652726863786794,0.028306066251206907,-0.8845145896312725,0.0,0.0,0.35017891498638565,0.8841961881444311,3.0,50.0,1.0,0.8870864242651173,0.7018879912718615,0.0,0.7889142407694294,0.17743853034014717,0.4808143570473069,0.8995686466418085,-0.22305875912686338,5.0,1.1613732428729093,-0.20721304608527794,0.14891310662469723,0.32364276639749695,0.055008377658397306,0.0,0.32364276639749695,-0.22305875912686338,0.2820400327373335,logistic_regression,regression,-1,synthetic_4,"{""random_forest"": 0.5562, ""xgboost"": 0.568, ""gradient_boosting"": 0.6671, ""logistic_regression"": 0.6466, ""lasso"": 0.947, ""knn"": 0.4968, ""decision_tree"": 0.4099, ""svm"": 0.6716}"
5611,32,8.632662441222351,2.3978952727983707,319.2579267386588,0.1589622607083297,0.025131854655259606,0.7038327192384514,0.19700707752754557,1.0,0.390485975596089,0.7224521152615053,0.6846341746451348,0.04863193286290768,0.09682084438607517,-1.2915572823718042,0.3459258015351545,3.0,0.47022929217645715,0.9582107181317852,4.0,5.0,-1.0,0.883494022266259,0.6729468965076726,0.08430729104528323,0.9288823311607789,0.6681931062943223,0.676382483417745,0.5765695444791299,-0.15694183262293693,5.0,1.7060189109347201,-0.025958587209447298,0.11777955682783428,0.0928208286886039,0.1470863212237734,0.0,0.1470863212237734,-0.15694183262293693,0.11552931858057758,knn,classification,-1,synthetic_5,"{""random_forest"": 0.5743, ""xgboost"": 0.4932, ""gradient_boosting"": 0.7062, ""logistic_regression"": 0.9149, ""lasso"": 0.7828, ""knn"": 0.7135, ""decision_tree"": 0.4534, ""svm"": 0.7383}"
254,28,5.541263545158426,3.6375861597263857,135.54140236128444,0.12230274217313611,0.004079709020012018,0.3036294039417907,0.25115776597945444,1.0,0.3885479070240845,0.07094091699992766,1.3807029632833303,0.10153706207879387,0.13299257234259898,-1.8895329125051812,0.0,0.0,0.28943244775377935,0.60254714488248,2.0,1.0,-1.0,0.46559801813246016,0.488380171236819,0.763802815432207,0.628943563457728,1.1857581885323314,0.41525012496952474,0.046974706861722275,0.49204308008341063,7.0,0.6065310293464456,0.5691803145846588,0.21483297087866218,0.10377855027672947,0.05464853257681153,0.0,0.5691803145846588,0.49204308008341063,0.09799537253881226,gradient_boosting,regression,-1,synthetic_6,"{""random_forest"": 0.5493, ""xgboost"": 0.9309, ""gradient_boosting"": 0.6515, ""logistic_regression"": 0.8631, ""lasso"": 0.5069, ""knn"": 0.6262, ""decision_tree"": 0.7847, ""svm"": 0.4761}"
5325,28,8.580355766373877,3.6888794541139363,100.32350042237132,0.016174593323439537,0.02141572374700539,0.7819499305357565,0.023277438203377444,1.0,1.830427455252961,0.44235222973110444,0.4387241549444194,0.1877465801625835,0.027429899566096098,1.738455989358839,0.0,0.0,0.3191352969216752,0.6565204176243309,4.0,15.0,1.0,0.6117207462343522,0.37764005618501095,0.0,0.6114789452755208,0.7183856305160106,0.7789230552321846,0.02424955374345831,-0.19380366220562412,7.0,0.18359813162688376,0.003475455493503643,0.03766279530742405,0.15363999724697264,0.10833290050482969,0.0,0.15363999724697264,-0.19380366220562412,0.09342399281738825,logistic_regression,regression,-1,synthetic_7,"{""random_forest"": 0.4964, ""xgboost"": 0.4094, ""gradient_boosting"": 0.8199, ""logistic_regression"": 0.8438, ""lasso"": 0.5905, ""knn"": 0.6556, ""decision_tree"": 0.7574, ""svm"": 0.4264}"
3351,26,8.117312461601975,2.9444389791664403,324.78544632109464,0.005302262108324363,0.029288779063673165,0.9581611689974703,0.2301896711503516,1.0,0.7763398524130438,0.6432882184423532,1.7495173429490998,1.0912335786318699,0.14121972131647878,-0.455589448796903,0.0,0.0,0.4805952819119571,0.9246919429496838,3.0,5.0,1.0,0.27396112732113376,0.19313020773753672,0.0,0.6697665874525891,0.08753663329736491,0.7091269421689465,0.3431886727398392,0.45931658527310876,3.0,0.6379512605875226,0.6808198641436701,0.3379501243877818,0.05702704947850039,0.2012545034320351,0.0,0.6808198641436701,0.45931658527310876,0.0069815807207477595,random_forest,regression,-1,synthetic_8,"{""random_forest"": 0.555, ""xgboost"": 0.465, ""gradient_boosting"": 0.7832, ""logistic_regression"": 0.7459, ""lasso"": 0.8826, ""knn"": 0.8043, ""decision_tree"": 0.8419, ""svm"": 0.5551}"
6435,25,8.769662508112274,3.5553480614894135,430.6222484030758,0.08579880547500368,0.03754355338957487,0.8281800118592777,0.04124954753437304,1.0,1.8051058133591333,0.5052523724478571,3.9587447966464495,0.6400992020612235,0.13432848427443006,-0.44319328506334754,0.3792414898848381,2.0,0.00541882574014918,0.9247135637292918,3.0,1.0,1.0,0.3549051904627206,0.8611207966138107,0.0,0.8045464569909364,0.9702166897888586,0.6465128288859026,0.09245156708330704,-0.15804836497622174,6.0,0.5864215433961291,-0.012554876541789016,0.1314658181479664,0.20319040432036845,0.10000657968644187,0.0,0.20319040432036845,-0.15804836497622174,0.2017555368231115,lasso,classification,-1,synthetic_9,"{""random_forest"": 0.8354, ""xgboost"": 0.8343, ""gradient_boosting"": 0.4502, ""logistic_regression"": 0.6719, ""lasso"": 0.4317, ""knn"": 0.7022, ""decision_tree"": 0.6428, ""svm"": 0.8882}"
